cbsa_fips,cbsa,city_fips,city,peak_yr,peak_pop,decades_since_peak,pop_2010,decline_since_peak,age,dec_since_peak_nonzero
13740,"Billings, MT",3006550,Billings city,2010,104170,0,104170,0,50,-1e-4
13780,"Binghamton, NY",3606607,Binghamton city,1950,80674,6,47376,0.4127476014577187,90,0.4127476014577187
13820,"Birmingham-Hoover, AL",107000,Birmingham city,1960,340887,5,212237,0.37739778871004176,100,0.37739778871004176
13900,"Bismarck, ND",3807200,Bismarck city,2010,61272,0,61272,0,10,-1e-4
13980,"Blacksburg-Christiansburg-Radford, VA",5107784,Blacksburg town,2010,42620,0,42620,0,0,-1e-4
14010,"Bloomington, IL",1706613,Bloomington city,2010,76610,0,76610,0,20,-1e-4
14020,"Bloomington, IN",1805860,Bloomington city,2010,80405,0,80405,0,30,-1e-4
14100,"Bloomsburg-Berwick, PA",4207128,Bloomsburg town,2010,14855,0,14855,0,0,-1e-4
14260,"Boise City, ID",1608830,Boise City city,2010,205671,0,205671,0,40,-1e-4
14460,"Boston-Cambridge-Newton, MA-NH",2507000,Boston city,1950,801444,6,617594,0.22939843582333888,180,0.22939843582333888
14500,"Boulder, CO",807850,Boulder city,2010,97385,0,97385,0,40,-1e-4
14540,"Bowling Green, KY",2108902,Bowling Green city,2010,58067,0,58067,0,0,-1e-4
14740,"Bremerton-Silverdale, WA",5307695,Bremerton city,1990,38142,2,37729,0.010827958680719417,0,0.010827958680719417
14860,"Bridgeport-Stamford-Norwalk, CT",908000,Bridgeport city,1950,158709,6,144229,0.09123616178036532,110,0.09123616178036532
15180,"Brownsville-Harlingen, TX",4810768,Brownsville city,2010,175023,0,175023,0,40,-1e-4
15260,"Brunswick, GA",1311560,Brunswick city,1960,21703,5,15383,0.29120398101644934,0,0.29120398101644934
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",3611000,Buffalo city,1950,580132,6,261310,0.5495680293450456,150,0.5495680293450456
15500,"Burlington, NC",3709060,Burlington city,2010,49963,0,49963,0,0,-1e-4
15540,"Burlington-South Burlington, VT",5010675,Burlington city,2010,42417,0,42417,0,0,-1e-4
15940,"Canton-Massillon, OH",3912000,Canton city,1950,116912,6,73007,0.3755388668400164,100,0.3755388668400164
15980,"Cape Coral-Fort Myers, FL",1210275,Cape Coral city,2010,154305,0,154305,0,20,-1e-4
16020,"Cape Girardeau, MO-IL",2911242,Cape Girardeau city,2010,37941,0,37941,0,0,-1e-4
16060,"Carbondale-Marion, IL",1711163,Carbondale city,1990,27033,2,25902,0.041837753856397736,0,0.041837753856397736
